id,category,subcategory,name,brand,specification,unit,price_range_inr,description,image_url
MAT00014,Building & Structural,Cement,OPC 33 Grade Cement,Dalmia,40kg bag,bag,Rs.230 - Rs.429,"Dalmia OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Dalmia+OPC+33+Grade+Cement
MAT00015,Building & Structural,Cement,OPC 33 Grade Cement,Dalmia,50kg bag,bag,Rs.230 - Rs.429,"Dalmia OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Dalmia+OPC+33+Grade+Cement
MAT00016,Building & Structural,Cement,OPC 33 Grade Cement,JK Cement,25kg bag,bag,Rs.230 - Rs.429,"JK Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=JK+Cement+OPC+33+Grade+Cement
MAT00017,Building & Structural,Cement,OPC 33 Grade Cement,JK Cement,40kg bag,bag,Rs.230 - Rs.429,"JK Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=JK+Cement+OPC+33+Grade+Cement
MAT00018,Building & Structural,Cement,OPC 33 Grade Cement,JK Cement,50kg bag,bag,Rs.230 - Rs.429,"JK Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=JK+Cement+OPC+33+Grade+Cement
MAT00019,Building & Structural,Cement,OPC 33 Grade Cement,Ramco,25kg bag,bag,Rs.230 - Rs.429,"Ramco OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ramco+OPC+33+Grade+Cement
MAT00020,Building & Structural,Cement,OPC 33 Grade Cement,Ramco,40kg bag,bag,Rs.230 - Rs.429,"Ramco OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ramco+OPC+33+Grade+Cement
MAT00021,Building & Structural,Cement,OPC 33 Grade Cement,Ramco,50kg bag,bag,Rs.230 - Rs.429,"Ramco OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ramco+OPC+33+Grade+Cement
MAT00022,Building & Structural,Cement,OPC 33 Grade Cement,Birla A1,25kg bag,bag,Rs.230 - Rs.429,"Birla A1 OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Birla+A1+OPC+33+Grade+Cement
MAT00023,Building & Structural,Cement,OPC 33 Grade Cement,Birla A1,40kg bag,bag,Rs.230 - Rs.429,"Birla A1 OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Birla+A1+OPC+33+Grade+Cement
MAT00024,Building & Structural,Cement,OPC 33 Grade Cement,Birla A1,50kg bag,bag,Rs.230 - Rs.429,"Birla A1 OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Birla+A1+OPC+33+Grade+Cement
MAT00025,Building & Structural,Cement,OPC 33 Grade Cement,India Cements,25kg bag,bag,Rs.230 - Rs.429,"India Cements OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=India+Cements+OPC+33+Grade+Cement
MAT00026,Building & Structural,Cement,OPC 33 Grade Cement,India Cements,40kg bag,bag,Rs.230 - Rs.429,"India Cements OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=India+Cements+OPC+33+Grade+Cement
MAT00027,Building & Structural,Cement,OPC 33 Grade Cement,India Cements,50kg bag,bag,Rs.230 - Rs.429,"India Cements OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=India+Cements+OPC+33+Grade+Cement
MAT00028,Building & Structural,Cement,OPC 33 Grade Cement,Star Cement,25kg bag,bag,Rs.230 - Rs.429,"Star Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Star+Cement+OPC+33+Grade+Cement
MAT00029,Building & Structural,Cement,OPC 33 Grade Cement,Star Cement,40kg bag,bag,Rs.230 - Rs.429,"Star Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Star+Cement+OPC+33+Grade+Cement
MAT00030,Building & Structural,Cement,OPC 33 Grade Cement,Star Cement,50kg bag,bag,Rs.230 - Rs.429,"Star Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Star+Cement+OPC+33+Grade+Cement
MAT00031,Building & Structural,Cement,OPC 33 Grade Cement,Wonder Cement,25kg bag,bag,Rs.230 - Rs.429,"Wonder Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Wonder+Cement+OPC+33+Grade+Cement
MAT00032,Building & Structural,Cement,OPC 33 Grade Cement,Wonder Cement,40kg bag,bag,Rs.230 - Rs.429,"Wonder Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Wonder+Cement+OPC+33+Grade+Cement
MAT00033,Building & Structural,Cement,OPC 33 Grade Cement,Wonder Cement,50kg bag,bag,Rs.230 - Rs.429,"Wonder Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Wonder+Cement+OPC+33+Grade+Cement
MAT00034,Building & Structural,Cement,OPC 33 Grade Cement,Prism Cement,25kg bag,bag,Rs.230 - Rs.429,"Prism Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Prism+Cement+OPC+33+Grade+Cement
MAT00035,Building & Structural,Cement,OPC 33 Grade Cement,Prism Cement,40kg bag,bag,Rs.230 - Rs.429,"Prism Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Prism+Cement+OPC+33+Grade+Cement
MAT00036,Building & Structural,Cement,OPC 33 Grade Cement,Prism Cement,50kg bag,bag,Rs.230 - Rs.429,"Prism Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Prism+Cement+OPC+33+Grade+Cement
MAT00037,Building & Structural,Cement,OPC 33 Grade Cement,Zuari Cement,25kg bag,bag,Rs.230 - Rs.429,"Zuari Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Zuari+Cement+OPC+33+Grade+Cement
MAT00038,Building & Structural,Cement,OPC 33 Grade Cement,Zuari Cement,40kg bag,bag,Rs.230 - Rs.429,"Zuari Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Zuari+Cement+OPC+33+Grade+Cement
MAT00039,Building & Structural,Cement,OPC 33 Grade Cement,Zuari Cement,50kg bag,bag,Rs.230 - Rs.429,"Zuari Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Zuari+Cement+OPC+33+Grade+Cement
MAT00040,Building & Structural,Cement,OPC 33 Grade Cement,Sagar Cement,25kg bag,bag,Rs.230 - Rs.429,"Sagar Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Sagar+Cement+OPC+33+Grade+Cement
MAT00041,Building & Structural,Cement,OPC 33 Grade Cement,Sagar Cement,40kg bag,bag,Rs.230 - Rs.429,"Sagar Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Sagar+Cement+OPC+33+Grade+Cement
MAT00042,Building & Structural,Cement,OPC 33 Grade Cement,Sagar Cement,50kg bag,bag,Rs.230 - Rs.429,"Sagar Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Sagar+Cement+OPC+33+Grade+Cement
MAT00043,Building & Structural,Cement,OPC 33 Grade Cement,Penna Cement,25kg bag,bag,Rs.230 - Rs.429,"Penna Cement OPC 33 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Penna+Cement+OPC+33+Grade+Cement
MAT00044,Building & Structural,Cement,OPC 33 Grade Cement,Penna Cement,40kg bag,bag,Rs.230 - Rs.429,"Penna Cement OPC 33 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Penna+Cement+OPC+33+Grade+Cement
MAT00045,Building & Structural,Cement,OPC 33 Grade Cement,Penna Cement,50kg bag,bag,Rs.230 - Rs.429,"Penna Cement OPC 33 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Penna+Cement+OPC+33+Grade+Cement
MAT00046,Building & Structural,Cement,OPC 43 Grade Cement,UltraTech,25kg bag,bag,Rs.230 - Rs.429,"UltraTech OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=UltraTech+OPC+43+Grade+Cement
MAT00047,Building & Structural,Cement,OPC 43 Grade Cement,UltraTech,40kg bag,bag,Rs.230 - Rs.429,"UltraTech OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=UltraTech+OPC+43+Grade+Cement
MAT00048,Building & Structural,Cement,OPC 43 Grade Cement,UltraTech,50kg bag,bag,Rs.230 - Rs.429,"UltraTech OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=UltraTech+OPC+43+Grade+Cement
MAT00049,Building & Structural,Cement,OPC 43 Grade Cement,ACC,25kg bag,bag,Rs.230 - Rs.429,"ACC OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=ACC+OPC+43+Grade+Cement
MAT00050,Building & Structural,Cement,OPC 43 Grade Cement,ACC,40kg bag,bag,Rs.230 - Rs.429,"ACC OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=ACC+OPC+43+Grade+Cement
MAT00051,Building & Structural,Cement,OPC 43 Grade Cement,ACC,50kg bag,bag,Rs.230 - Rs.429,"ACC OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=ACC+OPC+43+Grade+Cement
MAT00052,Building & Structural,Cement,OPC 43 Grade Cement,Ambuja,25kg bag,bag,Rs.230 - Rs.429,"Ambuja OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ambuja+OPC+43+Grade+Cement
MAT00053,Building & Structural,Cement,OPC 43 Grade Cement,Ambuja,40kg bag,bag,Rs.230 - Rs.429,"Ambuja OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ambuja+OPC+43+Grade+Cement
MAT00054,Building & Structural,Cement,OPC 43 Grade Cement,Ambuja,50kg bag,bag,Rs.230 - Rs.429,"Ambuja OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ambuja+OPC+43+Grade+Cement
MAT00055,Building & Structural,Cement,OPC 43 Grade Cement,Shree Cement,25kg bag,bag,Rs.230 - Rs.429,"Shree Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Shree+Cement+OPC+43+Grade+Cement
MAT00056,Building & Structural,Cement,OPC 43 Grade Cement,Shree Cement,40kg bag,bag,Rs.230 - Rs.429,"Shree Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Shree+Cement+OPC+43+Grade+Cement
MAT00057,Building & Structural,Cement,OPC 43 Grade Cement,Shree Cement,50kg bag,bag,Rs.230 - Rs.429,"Shree Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Shree+Cement+OPC+43+Grade+Cement
MAT00058,Building & Structural,Cement,OPC 43 Grade Cement,Dalmia,25kg bag,bag,Rs.230 - Rs.429,"Dalmia OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Dalmia+OPC+43+Grade+Cement
MAT00059,Building & Structural,Cement,OPC 43 Grade Cement,Dalmia,40kg bag,bag,Rs.230 - Rs.429,"Dalmia OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Dalmia+OPC+43+Grade+Cement
MAT00060,Building & Structural,Cement,OPC 43 Grade Cement,Dalmia,50kg bag,bag,Rs.230 - Rs.429,"Dalmia OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Dalmia+OPC+43+Grade+Cement
MAT00061,Building & Structural,Cement,OPC 43 Grade Cement,JK Cement,25kg bag,bag,Rs.230 - Rs.429,"JK Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=JK+Cement+OPC+43+Grade+Cement
MAT00062,Building & Structural,Cement,OPC 43 Grade Cement,JK Cement,40kg bag,bag,Rs.230 - Rs.429,"JK Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=JK+Cement+OPC+43+Grade+Cement
MAT00063,Building & Structural,Cement,OPC 43 Grade Cement,JK Cement,50kg bag,bag,Rs.230 - Rs.429,"JK Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=JK+Cement+OPC+43+Grade+Cement
MAT00064,Building & Structural,Cement,OPC 43 Grade Cement,Ramco,25kg bag,bag,Rs.230 - Rs.429,"Ramco OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ramco+OPC+43+Grade+Cement
MAT00065,Building & Structural,Cement,OPC 43 Grade Cement,Ramco,40kg bag,bag,Rs.230 - Rs.429,"Ramco OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ramco+OPC+43+Grade+Cement
MAT00066,Building & Structural,Cement,OPC 43 Grade Cement,Ramco,50kg bag,bag,Rs.230 - Rs.429,"Ramco OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Ramco+OPC+43+Grade+Cement
MAT00067,Building & Structural,Cement,OPC 43 Grade Cement,Birla A1,25kg bag,bag,Rs.230 - Rs.429,"Birla A1 OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Birla+A1+OPC+43+Grade+Cement
MAT00068,Building & Structural,Cement,OPC 43 Grade Cement,Birla A1,40kg bag,bag,Rs.230 - Rs.429,"Birla A1 OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Birla+A1+OPC+43+Grade+Cement
MAT00069,Building & Structural,Cement,OPC 43 Grade Cement,Birla A1,50kg bag,bag,Rs.230 - Rs.429,"Birla A1 OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Birla+A1+OPC+43+Grade+Cement
MAT00070,Building & Structural,Cement,OPC 43 Grade Cement,India Cements,25kg bag,bag,Rs.230 - Rs.429,"India Cements OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=India+Cements+OPC+43+Grade+Cement
MAT00071,Building & Structural,Cement,OPC 43 Grade Cement,India Cements,40kg bag,bag,Rs.230 - Rs.429,"India Cements OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=India+Cements+OPC+43+Grade+Cement
MAT00072,Building & Structural,Cement,OPC 43 Grade Cement,India Cements,50kg bag,bag,Rs.230 - Rs.429,"India Cements OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=India+Cements+OPC+43+Grade+Cement
MAT00073,Building & Structural,Cement,OPC 43 Grade Cement,Star Cement,25kg bag,bag,Rs.230 - Rs.429,"Star Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Star+Cement+OPC+43+Grade+Cement
MAT00074,Building & Structural,Cement,OPC 43 Grade Cement,Star Cement,40kg bag,bag,Rs.230 - Rs.429,"Star Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Star+Cement+OPC+43+Grade+Cement
MAT00075,Building & Structural,Cement,OPC 43 Grade Cement,Star Cement,50kg bag,bag,Rs.230 - Rs.429,"Star Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Star+Cement+OPC+43+Grade+Cement
MAT00076,Building & Structural,Cement,OPC 43 Grade Cement,Wonder Cement,25kg bag,bag,Rs.230 - Rs.429,"Wonder Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Wonder+Cement+OPC+43+Grade+Cement
MAT00077,Building & Structural,Cement,OPC 43 Grade Cement,Wonder Cement,40kg bag,bag,Rs.230 - Rs.429,"Wonder Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Wonder+Cement+OPC+43+Grade+Cement
MAT00078,Building & Structural,Cement,OPC 43 Grade Cement,Wonder Cement,50kg bag,bag,Rs.230 - Rs.429,"Wonder Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Wonder+Cement+OPC+43+Grade+Cement
MAT00079,Building & Structural,Cement,OPC 43 Grade Cement,Prism Cement,25kg bag,bag,Rs.230 - Rs.429,"Prism Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Prism+Cement+OPC+43+Grade+Cement
MAT00080,Building & Structural,Cement,OPC 43 Grade Cement,Prism Cement,40kg bag,bag,Rs.230 - Rs.429,"Prism Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Prism+Cement+OPC+43+Grade+Cement
MAT00081,Building & Structural,Cement,OPC 43 Grade Cement,Prism Cement,50kg bag,bag,Rs.230 - Rs.429,"Prism Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Prism+Cement+OPC+43+Grade+Cement
MAT00082,Building & Structural,Cement,OPC 43 Grade Cement,Zuari Cement,25kg bag,bag,Rs.230 - Rs.429,"Zuari Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Zuari+Cement+OPC+43+Grade+Cement
MAT00083,Building & Structural,Cement,OPC 43 Grade Cement,Zuari Cement,40kg bag,bag,Rs.230 - Rs.429,"Zuari Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Zuari+Cement+OPC+43+Grade+Cement
MAT00084,Building & Structural,Cement,OPC 43 Grade Cement,Zuari Cement,50kg bag,bag,Rs.230 - Rs.429,"Zuari Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Zuari+Cement+OPC+43+Grade+Cement
MAT00085,Building & Structural,Cement,OPC 43 Grade Cement,Sagar Cement,25kg bag,bag,Rs.230 - Rs.429,"Sagar Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Sagar+Cement+OPC+43+Grade+Cement
MAT00086,Building & Structural,Cement,OPC 43 Grade Cement,Sagar Cement,40kg bag,bag,Rs.230 - Rs.429,"Sagar Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Sagar+Cement+OPC+43+Grade+Cement
MAT00087,Building & Structural,Cement,OPC 43 Grade Cement,Sagar Cement,50kg bag,bag,Rs.230 - Rs.429,"Sagar Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Sagar+Cement+OPC+43+Grade+Cement
MAT00088,Building & Structural,Cement,OPC 43 Grade Cement,Penna Cement,25kg bag,bag,Rs.230 - Rs.429,"Penna Cement OPC 43 Grade cement, packed in 25kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Penna+Cement+OPC+43+Grade+Cement
MAT00089,Building & Structural,Cement,OPC 43 Grade Cement,Penna Cement,40kg bag,bag,Rs.230 - Rs.429,"Penna Cement OPC 43 Grade cement, packed in 40kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Penna+Cement+OPC+43+Grade+Cement
MAT00090,Building & Structural,Cement,OPC 43 Grade Cement,Penna Cement,50kg bag,bag,Rs.230 - Rs.429,"Penna Cement OPC 43 Grade cement, packed in 50kg bag, used for RCC, masonry and plastering work.",https://placehold.co/400x300/8B8378/FFFFFF?text=Penna+Cement+OPC+43+Grade+Cement
MAT00091,Building & Structural,Bricks & Blocks,Red Clay Brick,Local Kiln Co.,230x110x75mm,piece,Rs.17 - Rs.32,"Local Kiln Co. Red Clay Brick, size 230x110x75mm, used for load bearing and partition walls.",https://placehold.co/400x300/8B8378/FFFFFF?text=Local+Kiln+Co.+Red+Clay+Brick
MAT00092,Building & Structural,Bricks & Blocks,Red Clay Brick,Bigbloc,230x110x75mm,piece,Rs.17 - Rs.32,"Bigbloc Red Clay Brick, size 230x110x75mm, used for load bearing and partition walls.",https://placehold.co/400x300/8B8378/FFFFFF?text=Bigbloc+Red+Clay+Brick
MAT00093,Building & Structural,Bricks & Blocks,Red Clay Brick,Magicrete,230x110x75mm,piece,Rs.17 - Rs.32,"Magicrete Red Clay Brick, size 230x110x75mm, used for load bearing and partition walls.",https://placehold.co/400x300/8B8378/FFFFFF?text=Magicrete+Red+Clay+Brick
